SYMBOL,OPEN,HIGH,LOW,CLOSE,PREVCLOSE,RSI
ANSALAPI,10.7,10.9,10.6,10.8,10.7,0.0
ANSALHSG,10.75,10.9,10.55,10.7,10.7,0.0
ANTGRAPHIC,0.45,0.5,0.45,0.5,0.5,0.0
APARINDS,652.05,659.55,641.65,646.0,654.9,21.272365805168988
APCL,131.15,132.75,129.1,129.55,132.05,48.87459807073956
APCOTEXIND,520.7,528.95,520.0,525.2,525.55,49.01960784313737
APEX,358.15,360.8,356.6,358.1,356.45,6.547619047619165
APLAPOLLO,1190.05,1200.05,1161.0,1183.3,1181.8,78.43762455161419
APLLTD,581.0,589.3,578.0,579.1,581.9,56.72227674190386
APOLLO,123.35,125.95,122.25,123.65,122.35,62.804878048780495
APOLLOHOSP,1259.0,1297.3,1259.0,1293.0,1266.65,88.48758465011278
APOLLOTYRE,228.0,234.25,226.15,233.4,227.85,46.35761589403975
APOLSINHOT,1056.95,1099.95,1056.95,1081.15,1073.15,14.170792079207985
APTECHT,187.65,188.75,183.2,185.35,187.1,0.0
ARCHIDPLY,40.3,41.6,40.3,41.2,41.95,0.0
ARCHIES,28.9,29.2,28.65,29.0,28.85,0.0
ARCOTECH,7.25,7.4,7.2,7.35,7.35,0.0
ARIES,99.3,101.5,99.1,101.25,100.3,0.0
ARIHANT,30.9,34.45,29.35,32.05,32.25,0.0
ARIHANTSUP,59.5,59.65,57.5,58.35,58.95,0.0
ARMANFIN,398.0,398.0,388.6,395.75,396.5,55.02793296089387
AROGRANITE,52.05,55.3,52.0,54.35,52.0,70.1492537313433
ARROWGREEN,105.0,112.0,103.5,112.0,106.7,18.307426597582023
ARROWTEX,21.8,22.0,21.2,21.5,22.2,0.0
ARSHIYA,31.85,32.25,30.3,31.05,31.75,0.0
ARSSINFRA,36.6,36.7,35.0,35.85,35.4,0.0
ARVIND,95.5,97.2,93.25,96.55,95.1,26.126126126126053
ARVSMART,123.3,124.5,121.7,122.65,123.35,41.77777777777783
ASAHIINDIA,264.65,267.3,262.0,262.45,265.65,76.37444279346212
ASAHISONG,212.05,215.05,210.75,213.55,213.15,0.0
ASAL,78.0,78.45,72.7,76.2,77.85,70.92198581560287
ASHAPURMIN,30.6,31.3,30.0,30.25,30.05,0.0
ASHIANA,118.6,120.95,117.75,118.5,119.1,61.90476190476199
ASHIMASYN,16.75,17.0,16.3,16.9,16.55,0.0
ASHOKA,124.1,127.5,123.7,126.4,124.1,40.350877192982736
ASHOKLEY,98.15,98.75,96.0,96.8,98.15,0.0
ASIANHOTNR,149.8,150.0,145.7,149.45,148.65,31.932773109243854
ASIANPAINT,1388.0,1401.4,1381.4,1385.85,1388.3,85.7657657657656
ASIANTILES,163.0,163.95,157.2,158.05,162.95,0.0
ASLIND,28.0,30.0,28.0,30.0,25.0,0.0
ASPINWALL,170.0,170.0,167.5,168.25,168.1,33.14285714285715
ASSAMCO,2.05,2.05,1.95,2.0,2.05,0.0
ASTEC,525.6,526.9,517.05,523.1,524.65,22.92993630573217
ASTERDM,160.05,161.5,159.0,160.65,160.0,81.19658119658108
ASTRAL,1144.8,1184.95,1138.1,1178.9,1144.85,60.01167542323413
ASTRAMICRO,80.25,81.5,80.05,80.4,79.95,69.99999999999982
ASTRAZEN,1410.65,1475.0,1405.0,1466.5,1415.55,48.22527212494084
ASTRON,113.0,114.8,112.2,113.35,112.65,74.8387096774195
ATFL,602.5,615.15,599.5,612.05,598.3,81.79959100204483
ATLANTA,22.6,22.75,22.05,22.25,22.65,0.0
ATLASCYCLE,78.0,78.5,77.35,78.35,78.0,0.0
ATUL,3448.2,3474.9,3423.2,3459.85,3455.75,84.70343392299698
ATULAUTO,353.8,366.0,346.55,354.7,357.25,96.41649763353612
AUBANK,621.0,634.5,619.65,623.85,621.35,95.92959295929589
AURDIS,35.5,36.0,35.5,35.7,34.3,0.0
AURIONPRO,132.35,135.95,130.55,135.05,132.45,79.4117647058823
AUROPHARMA,714.0,728.0,708.25,725.85,715.9,52.06043956043971
AUSOMENT,50.0,56.7,50.0,56.7,47.25,86.42297650130548
